listing,price,brand,size
Vera Bradley Colorful Floral Crossbody Bag,30.0,Vera,
Botkier Blue Satin Bag,45.0,Botkier,
💚Handmade leather purse,19.0,💚Handmade,
Radley London Black and Tan Tote Bag with Classic Design,45.0,Radley,
"Michael Kors Emilia small satchel cross body buttercup yellow pebbles leather
          
      NWT",199.0,Michael,Small
PINK PINEAPPLE summer crossbody,8.0,PINK,
Lucky Brand Lambskin Foldover Crossbody Handbag Charcoal Gray,49.0,Lucky,
Vera Bradley Blue and Black floral Quilted Wristlet wallet 6”x7”,15.0,Vera,
Loungefly Stranger Things Chibi Mini Backpack Blue Limited Print,103.0,Loungefly,Mini
"Women's Brown Soft Vegan Leather Woven Shoulder Top-handled Hobo Slouchy Bag
          
      NWT",90.0,Women's,
Worthington Black and Gold Patterned Shoulder Bag,30.0,Worthington,
BAGGALLINI Dublin Travel Brick Red Nylon Crossbody Shoulder Bag  Retired,38.0,BAGGALLINI,
"Loungefly Encanto Casita backpack
          
      NWT",113.0,Loungefly,
Louis Vuitton Vernis Zippy Wallet - tan Beige,87.0,Louis,
"MICHAEL KORS Jet Set Logo, Large Tote Canvas Leather Bag Brown",25.0,MICHAEL,Large
Saint Laurent Shopping Bag East West Tote Smooth Leather,549.0,Saint,
Vera Bradley Tote Bag - Botanical Paisley,28.0,Vera,
"Burgundy Leather Backpack with Bee Accent NWT​
          
      NWT",79.0,Burgundy,
Vera Bradley Paisley Blue Rhapsody Shoulder Bag,40.0,Vera,
Vera Pelle Small quilted leather bag with shoulder strap made in ITALY pink,55.0,Vera,Small
NWOT Solas Light Up Clutch,110.0,NWOT,
VTG Purple Magenta woven raffia straw wicker oversized envelope clutch bag purse,25.0,VTG,
Vera Bradley Campus Backpack in Indio - Blue/Navy Mandala,22.0,Vera,
Gray and Gold Purse,20.0,Gray,
"CHANEL PERFECT DAY EXTRA LARGE TOTE BAG NEW WITH TAGS
          
      NWT",3500.0,CHANEL,Large
"Tory Burch nwt Britten Nylon Puffy  Tote Bag Black silver Converts To crossbody
          
      Boutique",330.0,Tory,
White Croc-Embossed Shoulder Bag,10.0,White,
Jessica Simpson Off-White Pleated Wallet,38.0,Jessica,
Agary & Easy Black Drawstring Backpack Featuring Land Of The Lustrous,18.0,Agary,
"drawstring clear bucket bag // NWT
          
      NWT",20.0,drawstring,
"Unicorn Corgi Ita Bag Crossbody Backpack Pin Display Holder, Cute Dog Lover Gift
          
      NWT",65.0,Unicorn,
"NEW TORY BURCH Robinson Double Card Case Poppy Red Saffiano Leather #11139370
          
      NWT",50.0,NEW,
Balenciaga Hourglass Small Top Handle Bag,499.0,Balenciaga,Small
"Therapy Systems metallic woven cosmetics, zip, pockets",35.0,Therapy,
